id,Org_1,Org_2,Org_4,Org_8,Org_12,Org_13,Org_14,Org_15,Org_16,Org_19,Org_20,Org_22,Org_23,Org_24,Org_29,Org_32,Org_34,Org_37,Org_38,Org_39,Org_40,Org_44,Org_45,Org_48,Org_50,Org_51,Org_52,Org_55,Org_56,Org_58,Org_59,Org_60
130,2,2,2,3,2,2,1,3,2,2,1,2,2,3,2,1,2,2,1,2,3,2,2,2,1,1,2,3,3,3,2,1
131,2,2,2,2,2,2,1,2,2,3,1,1,2,2,1,1,1,1,1,1,2,3,2,3,2,2,3,3,3,3,2,1
135,3,1,2,3,2,2,2,2,1,3,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,3,3,3,3,3,2,2
136,1,2,2,2,2,2,2,2,2,3,2,1,1,2,2,1,2,1,1,2,2,3,2,1,2,2,3,3,3,3,3,1
137,2,2,1,1,2,3,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,3,1,2
138,1,2,2,2,2,2,1,2,2,2,1,2,2,3,1,1,2,2,2,1,3,2,3,2,2,2,2,2,3,2,2,1
139,1,3,1,3,2,3,1,3,2,2,2,2,2,2,2,2,2,3,1,1,3,1,2,2,1,1,3,3,2,3,1,2
141,1,1,2,3,2,2,2,2,3,2,1,2,2,3,2,1,2,3,1,2,2,3,2,2,2,2,2,1,2,2,2,1
142,1,1,1,2,1,2,1,2,2,3,2,1,1,2,2,1,2,1,1,2,2,3,3,2,2,2,3,3,3,3,3,2
143,1,1,2,3,1,3,2,2,3,1,1,2,1,2,2,2,3,1,2,2,3,2,2,2,1,1,2,3,3,2,3,1
144,3,3,2,2,2,3,2,2,2,3,1,2,2,2,1,2,3,1,1,1,2,2,2,2,1,2,3,3,3,3,3,2
145,2,1,2,2,2,2,1,2,3,2,2,2,2,3,2,2,2,3,1,1,3,2,2,2,1,1,2,2,3,3,1,1
148,2,2,1,3,2,2,2,2,2,2,1,2,2,3,2,1,1,2,2,2,1,2,3,2,2,2,2,3,3,3,2,2
149,2,1,1,3,2,2,1,2,2,3,1,2,2,3,3,2,2,2,2,3,1,3,3,2,1,1,3,3,2,3,1,1
150,2,1,1,2,2,1,2,1,3,2,1,2,2,3,1,2,3,2,1,3,2,2,3,3,2,1,3,2,2,2,1,1
153,1,1,2,3,2,2,1,3,2,3,2,2,2,1,3,2,2,2,1,2,3,2,2,2,1,1,3,3,2,3,1,2
154,2,2,2,2,2,3,2,3,3,2,2,2,2,2,1,1,2,2,2,3,3,1,2,1,2,2,2,3,3,3,2,2
